	beta	time	lags	sequences	reward	move_iti
53	B10	221.7	6.0	B	10	4.2
54	A10	231.3	5.4	A	10	4.4
55	A10	241.5	5.8	A	10	4.2
56	B5	251.2	5.5	B	5	3.7
57	B30	260.2	5.3	B	30	3.5
58	B30	269.1	5.4	B	30	3.9
59	A30	279.0	6.0	A	30	3.8
60	B30	5.0	5.0	B	30	4.3
61	B5	14.8	5.5	B	5	3.6
62	B30	23.6	5.2	B	30	3.7
63	B10	32.7	5.4	B	10	4.3
64	B5	42.3	5.3	B	5	3.6
65	A5	51.0	5.1	A	5	4.3
66	A30	60.5	5.2	A	30	3.6
67	B30	69.9	5.8	B	30	3.9
68	A10	78.8	5.0	A	10	3.8
69	A30	87.9	5.3	A	30	5.7
70	B10	98.7	5.1	B	10	3.6
71	B30	108.2	5.9	B	30	3.8
72	B10	117.1	5.1	B	10	4.4
73	A10	127.1	5.6	A	10	3.6
74	A10	136.4	5.7	A	10	4.8
75	A5	147.7	6.5	A	5	3.6
76	A5	156.6	5.3	A	5	4.2
77	B5	166.6	5.8	B	5	3.8
78	A30	175.8	5.4	A	30	4.3
79	A30	185.8	5.7	A	30	3.6
80	B10	195.4	6.0	B	10	4.8
81	B5	205.5	5.3	B	5	3.6
82	A10	215.0	5.9	A	10	4.3
83	A10	224.3	5.0	A	10	3.7
84	A5	233.0	5.0	A	5	3.9
85	B5	241.9	5.0	B	5	3.6
86	B30	250.5	5.0	B	30	3.8
87	B10	259.6	5.3	B	10	4.1
88	A5	268.8	5.1	A	5	4.6
89	A30	278.7	5.3	A	30	3.7
90	A30	5.2	5.2	A	30	3.7
91	B5	15.6	6.7	B	5	4.1
92	A10	25.1	5.4	A	10	4.1
93	A10	34.9	5.7	A	10	4.8
94	B30	45.0	5.3	B	30	3.7
95	B5	54.6	5.9	B	5	3.7
96	B10	63.6	5.3	B	10	4.1
97	A5	72.7	5.0	A	5	3.5
98	A30	81.4	5.2	A	30	3.8
99	B10	90.7	5.5	B	10	3.7
100	B10	100.4	6.0	B	10	3.5
101	A10	109.7	5.8	A	10	4.0
102	B5	118.8	5.1	B	5	3.7
103	A30	127.7	5.2	A	30	3.8
104	B30	137.6	6.1	B	30	4.3
105	B10	147.5	5.6	B	10	3.5
106	B30	156.6	5.6	B	30	5.3
107	A30	167.0	5.1	A	30	4.0
108	A5	176.0	5.0	A	5	3.5
109	A5	184.6	5.1	A	5	4.9
110	A30	194.5	5.0	A	30	3.5
111	A10	203.1	5.1	A	10	3.5
112	B30	212.4	5.8	B	30	3.8
113	A5	222.0	5.8	A	5	3.6
114	A10	231.2	5.6	A	10	3.8
115	B30	240.5	5.5	B	30	3.7
116	B5	249.2	5.0	B	5	4.4
117	B5	259.5	5.9	B	5	3.6
118	B10	268.7	5.6	B	10	4.5
119	A5	278.4	5.2	A	5	4.0
120	A5	4.2	4.2	A	5	3.8
121	B30	13.4	5.4	B	30	3.5
122	A5	22.4	5.5	A	5	3.6
123	A5	32.2	6.2	A	5	3.7
124	B30	42.2	6.3	B	30	3.6
125	B10	50.8	5.0	B	10	3.6
126	A10	60.3	5.9	A	10	3.9
127	A30	69.6	5.4	A	30	3.5
128	B5	78.8	5.7	B	5	3.5
129	A30	87.8	5.5	A	30	4.3
130	B5	97.2	5.1	B	5	4.1
131	A5	106.3	5.0	A	5	4.3
132	A10	116.8	6.2	A	10	5.7
133	B10	127.7	5.2	B	10	3.9
134	B5	137.3	5.7	B	5	4.3
135	A5	147.3	5.7	A	5	4.7
136	A30	158.3	6.3	A	30	5.2
137	A10	169.4	5.9	A	10	3.6
138	A10	178.0	5.0	A	10	3.8
139	B5	187.3	5.5	B	5	3.6
140	B5	196.5	5.6	B	5	3.6
141	B30	205.5	5.4	B	30	3.5
142	B30	214.5	5.5	B	30	3.8
143	A30	223.7	5.4	A	30	3.5
144	B10	232.2	5.0	B	10	3.8
145	A30	241.1	5.1	A	30	4.5
146	A10	251.3	5.7	A	10	4.1
147	B10	260.5	5.1	B	10	3.7
148	B10	269.3	5.1	B	10	3.9
149	B30	278.4	5.2	B	30	4.5
150	B10	4.6	4.6	B	10	3.8
151	A30	13.4	5.0	A	30	3.5
152	B5	22.1	5.2	B	5	4.8
153	B30	32.1	5.2	B	30	3.5
154	A10	40.8	5.2	A	10	4.8
155	A30	50.7	5.1	A	30	4.5
156	A5	60.2	5.0	A	5	4.4
157	B30	69.9	5.3	B	30	3.9
158	B10	78.9	5.1	B	10	4.3
159	A30	88.7	5.5	A	30	4.0
160	B30	99.7	7.0	B	30	3.7
161	A30	108.4	5.0	A	30	4.6
162	B10	118.0	5.0	B	10	3.5
163	A10	126.7	5.2	A	10	3.5
164	B30	135.4	5.2	B	30	3.7
165	B5	144.6	5.5	B	5	3.8
166	A10	153.9	5.5	A	10	3.5
167	A5	163.4	6.0	A	5	3.5
168	A5	172.5	5.6	A	5	4.2
169	B5	182.0	5.3	B	5	4.9
170	A5	192.5	5.6	A	5	3.5
171	A10	201.3	5.3	A	10	4.2
172	B10	210.9	5.4	B	10	5.1
173	B5	221.6	5.6	B	5	5.0
174	B10	231.6	5.0	B	10	4.4
175	A30	241.0	5.0	A	30	4.0
176	A5	250.9	5.9	A	5	3.8
177	A10	260.0	5.3	A	10	4.2
178	B5	269.4	5.2	B	5	3.7
179	B30	278.3	5.2	B	30	3.8
180	B30	4.0	4.0	B	30	4.3
181	B5	13.5	5.2	B	5	4.8
182	A30	24.1	5.8	A	30	3.9
183	A5	33.2	5.2	A	5	3.6
184	A10	42.3	5.5	A	10	3.7
185	B5	51.1	5.1	B	5	4.0
186	A10	60.8	5.7	A	10	3.6
187	B5	69.6	5.2	B	5	3.5
188	B10	79.2	6.1	B	10	3.5
189	B30	87.7	5.0	B	30	4.2
190	A30	97.0	5.1	A	30	4.2
191	B5	107.1	5.9	B	5	3.7
192	A30	115.8	5.0	A	30	3.9
193	A5	124.8	5.1	A	5	6.4
194	B30	137.6	6.4	B	30	5.3
195	B10	148.0	5.1	B	10	3.5
196	A10	156.6	5.1	A	10	3.9
197	B10	165.8	5.3	B	10	3.8
198	A5	175.0	5.4	A	5	5.0
199	A30	185.2	5.2	A	30	3.8
200	A5	194.0	5.0	A	5	4.3
201	B30	203.8	5.5	B	30	3.5
202	A10	212.3	5.0	A	10	3.6
203	A30	221.1	5.2	A	30	3.9
204	A10	230.1	5.1	A	10	3.6
205	B5	239.0	5.3	B	5	4.3
206	B10	249.0	5.7	B	10	4.1
207	A5	258.4	5.3	A	5	4.4
208	B10	268.7	5.9	B	10	4.2
209	B30	278.4	5.5	B	30	3.9
210	B5	4.5	4.5	B	5	3.5
211	B10	13.4	5.4	B	10	3.5
212	A10	22.3	5.4	A	10	3.9
213	A30	31.2	5.0	A	30	4.5
214	B30	41.0	5.3	B	30	3.5
215	B5	50.1	5.6	B	5	3.5
216	A30	58.6	5.0	A	30	3.6
217	A10	68.1	5.9	A	10	3.6
218	A5	76.7	5.0	A	5	4.1
219	A5	85.8	5.0	A	5	3.7
220	A30	94.5	5.0	A	30	3.9
221	B30	103.5	5.1	B	30	4.3
222	B10	113.0	5.2	B	10	5.4
223	A5	123.4	5.0	A	5	4.7
224	A10	133.3	5.2	A	10	3.6
225	A30	142.2	5.3	A	30	3.6
226	B10	151.5	5.7	B	10	3.5
227	B10	160.5	5.5	B	10	3.6
228	A10	169.7	5.6	A	10	3.9
229	B30	178.6	5.0	B	30	6.1
230	B30	189.9	5.2	B	30	4.3
231	B5	200.0	5.8	B	5	4.4
232	B30	209.6	5.2	B	30	5.6
233	A5	221.0	5.8	A	5	3.5
234	B10	231.0	6.5	B	10	3.8
235	A5	240.3	5.5	A	5	3.9
236	A30	249.4	5.2	A	30	3.6
237	B5	258.8	5.8	B	5	5.4
238	A10	269.2	5.0	A	10	3.7
239	B5	278.0	5.1	B	5	3.9
