	beta	time	lags	sequences	reward	move_iti
53	B5	221.0	5.2	B	5	3.5
54	A30	229.6	5.1	A	30	4.4
55	A5	239.2	5.2	A	5	4.1
56	B5	248.9	5.6	B	5	3.5
57	B30	258.5	6.1	B	30	3.5
58	B10	267.6	5.6	B	10	4.2
59	A10	277.7	5.9	A	10	5.1
60	A5	4.3	4.3	A	5	3.5
61	B30	14.3	6.5	B	30	3.6
62	A10	23.0	5.1	A	10	3.5
63	B10	32.7	6.2	B	10	4.2
64	A5	41.9	5.0	A	5	3.7
65	B30	50.6	5.0	B	30	3.5
66	B10	59.4	5.3	B	10	4.0
67	B30	68.4	5.0	B	30	5.5
68	A10	79.0	5.1	A	10	3.5
69	A30	87.5	5.0	A	30	4.3
70	B5	96.9	5.1	B	5	3.7
71	B30	105.6	5.0	B	30	3.6
72	A30	115.7	6.5	A	30	3.6
73	A5	124.4	5.1	A	5	4.2
74	A10	133.8	5.2	A	10	3.8
75	B10	143.9	6.3	B	10	4.4
76	B5	155.7	7.4	B	5	4.4
77	B5	165.6	5.5	B	5	4.6
78	B10	175.2	5.0	B	10	3.6
79	A10	184.2	5.4	A	10	3.9
80	A5	193.1	5.0	A	5	3.7
81	A30	203.6	6.8	A	30	4.4
82	B5	214.6	6.6	B	5	3.9
83	B5	224.3	5.8	B	5	3.5
84	B10	232.9	5.1	B	10	3.6
85	A30	241.6	5.1	A	30	3.5
86	A10	251.4	6.3	A	10	3.6
87	A5	260.8	5.8	A	5	4.0
88	B30	270.5	5.7	B	30	3.6
89	A30	279.4	5.3	A	30	3.6
90	B30	4.7	4.7	B	30	3.6
91	A5	14.2	5.9	A	5	5.2
92	B10	24.6	5.2	B	10	3.5
93	A5	33.7	5.6	A	5	4.4
94	A30	43.4	5.3	A	30	3.7
95	B5	52.6	5.5	B	5	5.2
96	A30	62.9	5.1	A	30	4.4
97	B10	72.4	5.1	B	10	4.5
98	B5	82.1	5.2	B	5	3.8
99	B30	91.6	5.7	B	30	3.8
100	A10	101.2	5.8	A	10	3.6
101	B5	110.1	5.3	B	5	3.9
102	A5	119.7	5.7	A	5	3.9
103	A10	129.4	5.8	A	10	3.6
104	A5	138.4	5.4	A	5	3.8
105	A30	148.6	6.4	A	30	3.6
106	B10	157.2	5.0	B	10	3.7
107	B10	166.2	5.3	B	10	4.2
108	B5	175.5	5.1	B	5	3.8
109	B30	184.7	5.4	B	30	3.6
110	B5	193.3	5.0	B	5	5.5
111	A10	204.6	5.8	A	10	3.6
112	B30	213.4	5.2	B	30	4.4
113	A30	222.8	5.0	A	30	3.5
114	B10	231.8	5.5	B	10	3.9
115	A10	240.7	5.0	A	10	3.6
116	A10	250.6	6.3	A	10	3.9
117	B30	260.0	5.5	B	30	3.5
118	A5	268.8	5.3	A	5	4.2
119	A30	278.0	5.0	A	30	4.1
120	A10	4.0	4.0	A	10	4.0
121	B5	13.4	5.4	B	5	4.0
122	B30	22.6	5.2	B	30	3.5
123	B5	31.4	5.3	B	5	3.9
124	B30	40.3	5.0	B	30	3.9
125	B30	50.0	5.8	B	30	4.3
126	A30	59.8	5.5	A	30	4.0
127	B5	69.3	5.5	B	5	4.4
128	A5	78.7	5.0	A	5	4.4
129	B10	88.1	5.0	B	10	3.5
130	B30	96.7	5.1	B	30	4.0
131	A30	106.2	5.5	A	30	3.6
132	A10	115.3	5.5	A	10	3.6
133	B5	124.7	5.8	B	5	3.8
134	B10	134.0	5.5	B	10	4.1
135	B10	143.2	5.1	B	10	4.0
136	A30	152.7	5.5	A	30	3.5
137	A5	161.3	5.1	A	5	3.8
138	A5	171.7	6.6	A	5	4.0
139	B5	182.2	6.5	B	5	4.0
140	B10	191.9	5.7	B	10	5.0
141	B30	201.9	5.0	B	30	3.8
142	A5	213.1	7.4	A	5	4.1
143	A10	223.4	6.2	A	10	4.2
144	B10	232.6	5.0	B	10	3.6
145	A5	241.6	5.4	A	5	3.7
146	A30	251.0	5.7	A	30	3.6
147	A10	260.1	5.5	A	10	3.8
148	A30	269.2	5.3	A	30	3.7
149	A10	277.9	5.0	A	10	3.7
150	A10	4.1	4.1	A	10	4.2
151	B5	14.8	6.5	B	5	6.2
152	B10	26.0	5.0	B	10	3.5
153	A5	34.5	5.0	A	5	3.7
154	A10	43.2	5.0	A	10	3.6
155	A30	53.0	6.2	A	30	3.6
156	A10	62.3	5.7	A	10	3.8
157	B30	71.3	5.2	B	30	3.7
158	A5	80.8	5.8	A	5	4.0
159	A5	92.1	7.3	A	5	3.9
160	A30	101.4	5.4	A	30	4.1
161	A10	111.1	5.6	A	10	4.2
162	B10	120.5	5.2	B	10	5.2
163	A10	130.7	5.0	A	10	3.5
164	B5	139.2	5.0	B	5	4.0
165	B10	148.2	5.0	B	10	3.7
166	A30	157.7	5.8	A	30	3.8
167	B30	166.5	5.0	B	30	3.8
168	B30	175.3	5.0	B	30	4.3
169	A5	185.1	5.5	A	5	3.8
170	A30	195.3	6.4	A	30	3.5
171	B30	203.8	5.0	B	30	3.9
172	B5	213.5	5.8	B	5	4.2
173	B30	222.8	5.1	B	30	3.5
174	B10	231.5	5.2	B	10	5.3
175	B10	241.9	5.1	B	10	4.8
176	A5	252.1	5.4	A	5	3.6
177	B5	261.4	5.7	B	5	3.5
178	B5	269.9	5.0	B	5	3.8
179	A30	278.7	5.0	A	30	3.6
180	A10	4.1	4.1	A	10	3.5
181	A30	13.2	5.6	A	30	3.9
182	B30	22.1	5.0	B	30	5.7
183	A10	33.4	5.6	A	10	3.6
184	A5	42.4	5.4	A	5	3.8
185	B30	51.4	5.2	B	30	7.2
186	B5	63.7	5.1	B	5	4.2
187	B30	73.3	5.4	B	30	3.7
188	A5	82.1	5.1	A	5	3.5
189	B30	90.8	5.2	B	30	3.6
190	A5	100.2	5.8	A	5	5.5
191	B10	110.8	5.1	B	10	5.7
192	A5	121.5	5.0	A	5	3.9
193	B10	130.5	5.1	B	10	3.6
194	A30	140.2	6.1	A	30	4.0
195	A10	149.3	5.1	A	10	3.6
196	A30	157.9	5.0	A	30	3.6
197	A5	166.6	5.1	A	5	5.0
198	A10	176.9	5.3	A	10	3.5
199	B5	185.6	5.2	B	5	4.2
200	B10	196.0	6.2	B	10	4.1
201	B10	205.6	5.5	B	10	4.2
202	B30	215.4	5.6	B	30	4.2
203	B5	224.6	5.0	B	5	3.8
204	B10	233.4	5.0	B	10	3.9
205	B5	242.5	5.2	B	5	4.8
206	B5	252.5	5.2	B	5	3.8
207	A30	261.5	5.2	A	30	3.5
208	A30	270.0	5.0	A	30	3.8
209	A10	279.4	5.6	A	10	3.5
210	A5	4.5	4.5	A	5	4.2
211	B10	14.5	5.8	B	10	3.6
212	A10	23.2	5.1	A	10	3.8
213	A5	32.0	5.0	A	5	3.5
214	B5	40.8	5.3	B	5	4.0
215	B10	49.9	5.1	B	10	4.2
216	B5	59.3	5.2	B	5	3.7
217	B5	68.7	5.7	B	5	4.2
218	A30	78.9	6.0	A	30	6.3
219	B5	90.4	5.2	B	5	3.6
220	B30	100.7	6.7	B	30	4.6
221	A5	110.7	5.4	A	5	4.8
222	B30	120.5	5.0	B	30	3.8
223	A5	129.4	5.1	A	5	3.5
224	B30	137.9	5.0	B	30	4.1
225	A30	147.5	5.5	A	30	3.5
226	A10	156.0	5.0	A	10	4.2
227	A30	165.3	5.1	A	30	4.0
228	A10	174.5	5.2	A	10	3.5
229	A10	183.4	5.4	A	10	4.3
230	B10	194.1	6.4	B	10	4.2
231	A5	203.3	5.0	A	5	4.0
232	A30	212.6	5.3	A	30	3.6
233	B30	221.5	5.3	B	30	3.6
234	B5	231.3	6.2	B	5	4.5
235	B10	240.9	5.1	B	10	5.1
236	B10	251.0	5.0	B	10	3.5
237	B30	259.6	5.1	B	30	3.9
238	A10	268.5	5.0	A	10	4.2
239	A30	278.3	5.6	A	30	4.7
