	sequences	time	lags	move_iti
69	B	278.7	4.9	3.0
70	B	4.2	4.2	3.4
71	A	12.1	4.5	3.0
72	A	19.6	4.5	3.0
73	random	27.2	4.6	4.4
74	A	36.6	5.0	3.2
75	A	44.4	4.6	3.4
76	random	52.3	4.5	5.0
77	A	62.0	4.7	3.2
78	A	69.7	4.5	3.0
79	random	77.2	4.5	3.0
80	A	85.0	4.8	3.2
81	A	94.2	6.0	3.1
82	A	102.0	4.7	3.0
83	A	109.6	4.6	4.5
84	A	120.2	6.1	3.1
85	random	127.8	4.5	3.0
86	A	135.7	4.9	3.3
87	A	143.6	4.6	3.4
88	A	151.7	4.7	3.8
89	A	160.1	4.6	3.0
90	B	167.6	4.5	3.4
91	A	175.5	4.5	3.4
92	A	183.4	4.5	3.0
93	A	190.9	4.5	3.9
94	A	199.4	4.6	3.0
95	B	207.1	4.7	3.2
96	A	214.8	4.5	3.2
97	A	222.8	4.8	4.0
98	B	231.6	4.8	3.0
99	B	239.2	4.6	3.9
100	A	247.7	4.6	3.0
101	A	255.5	4.8	3.1
102	random	263.8	5.2	3.4
103	A	271.7	4.5	3.4
104	A	279.8	4.7	3.4
105	random	4.1	4.1	3.5
106	B	12.1	4.5	3.0
107	A	20.0	4.9	3.3
108	B	27.9	4.6	4.0
109	A	36.4	4.5	3.6
110	random	44.6	4.6	4.0
111	A	53.4	4.8	3.1
112	A	61.0	4.5	3.2
113	A	68.8	4.6	3.0
114	A	77.1	5.3	3.6
115	A	85.2	4.5	3.8
116	B	93.8	4.8	3.3
117	A	101.8	4.7	3.1
118	B	109.4	4.5	3.9
119	random	118.2	4.9	3.0
120	A	125.9	4.7	3.5
121	A	134.4	5.0	3.1
122	A	142.2	4.7	3.0
123	A	149.8	4.6	3.0
124	A	157.7	4.9	3.8
125	A	166.0	4.5	3.0
126	random	173.6	4.6	4.2
127	A	182.4	4.6	3.2
128	random	190.2	4.6	3.6
129	A	198.7	4.9	3.0
130	A	206.4	4.7	3.0
131	B	214.1	4.7	3.4
132	A	222.3	4.8	3.9
133	A	231.0	4.8	3.1
134	A	238.8	4.7	3.3
135	A	246.7	4.6	3.7
136	A	255.0	4.6	3.5
137	A	263.0	4.5	3.7
138	A	271.3	4.6	3.5
139	A	279.4	4.6	3.4
140	B	4.0	4.0	3.0
141	random	11.7	4.7	3.6
142	A	20.0	4.7	3.0
143	random	27.7	4.7	3.2
144	A	35.5	4.6	3.1
145	A	43.4	4.8	3.3
146	A	51.8	5.1	3.9
147	A	60.5	4.8	3.2
148	A	69.9	6.2	3.2
149	B	77.6	4.5	3.1
150	A	85.2	4.5	3.1
151	A	93.3	5.0	3.1
152	A	102.1	5.7	3.3
153	B	109.9	4.5	3.6
154	A	118.1	4.6	3.0
155	A	125.6	4.5	3.0
156	random	133.6	5.0	3.0
157	A	142.1	5.5	3.6
158	A	150.6	4.9	3.3
159	A	158.4	4.5	3.4
160	A	166.7	4.9	3.1
161	A	174.6	4.8	3.0
162	A	182.1	4.5	3.2
163	A	190.5	5.2	3.3
164	random	198.4	4.6	3.3
165	B	206.3	4.6	5.3
166	A	216.4	4.8	3.4
167	A	224.5	4.7	3.3
168	A	232.6	4.8	3.2
169	A	240.4	4.6	3.5
170	random	248.5	4.6	3.4
171	A	256.4	4.5	3.6
172	A	264.8	4.8	3.0
173	A	272.3	4.5	3.1
174	B	279.9	4.5	3.2
175	A	4.3	4.3	4.0
176	A	12.8	4.5	3.4
177	A	21.0	4.8	3.0
178	A	28.6	4.6	4.0
179	A	37.7	5.1	3.2
180	random	45.4	4.5	3.0
181	A	53.5	5.1	3.5
182	random	61.6	4.6	3.3
183	A	69.4	4.5	4.5
184	random	78.9	5.0	4.2
185	A	87.6	4.5	3.1
186	B	95.2	4.5	3.9
187	A	104.6	5.5	3.5
188	A	112.6	4.5	3.4
189	B	120.6	4.6	3.1
190	A	128.2	4.5	3.0
191	A	135.7	4.5	3.3
192	A	143.5	4.5	3.0
193	A	151.2	4.7	3.3
194	A	159.0	4.5	3.1
195	A	166.6	4.5	3.0
196	A	174.1	4.5	3.3
197	A	182.0	4.6	3.2
198	B	190.1	4.9	4.2
199	random	198.8	4.5	3.8
200	A	207.8	5.2	3.7
201	A	216.0	4.5	3.2
202	A	224.1	4.9	3.0
203	A	231.6	4.5	3.4
204	A	239.6	4.6	3.2
205	B	247.8	5.0	3.4
206	A	255.9	4.7	3.0
207	B	263.6	4.7	3.0
208	random	271.1	4.5	3.5
209	A	279.3	4.7	3.0
210	random	4.9	4.9	3.1
211	A	12.8	4.8	3.0
212	B	20.4	4.6	3.0
213	A	28.3	4.9	3.8
214	A	36.6	4.5	4.6
215	A	46.3	5.1	3.0
216	A	53.9	4.6	3.1
217	A	62.3	5.3	3.0
218	B	70.4	5.1	3.3
219	A	78.2	4.5	3.1
220	A	85.9	4.6	3.1
221	A	93.6	4.6	3.1
222	B	101.3	4.6	3.0
223	A	109.2	4.9	3.4
224	A	117.3	4.7	3.3
225	A	125.1	4.5	3.1
226	B	133.5	5.3	3.2
227	B	141.5	4.8	3.0
228	random	149.1	4.6	3.2
229	A	157.0	4.7	3.8
230	A	165.3	4.5	3.0
231	A	173.0	4.7	3.1
232	A	180.7	4.6	4.5
233	A	190.2	5.0	3.1
234	random	198.0	4.7	3.3
235	A	206.0	4.7	3.1
236	random	214.5	5.4	3.1
237	A	222.6	5.0	3.2
238	A	230.3	4.5	3.0
239	A	238.1	4.8	3.0
240	A	245.7	4.6	3.1
241	A	253.6	4.8	3.1
242	A	261.4	4.7	3.0
243	A	269.8	5.4	4.1
244	random	278.7	4.8	4.3
245	A	4.5	4.5	3.1
246	A	12.6	5.0	3.0
247	A	20.2	4.6	3.3
248	B	28.5	5.0	3.2
249	A	36.3	4.6	3.5
250	A	44.4	4.6	3.3
251	A	52.5	4.8	3.0
252	random	60.3	4.8	3.8
253	A	68.6	4.5	3.0
254	random	76.4	4.8	3.1
255	A	84.2	4.7	3.1
256	A	92.1	4.8	3.4
257	A	100.1	4.6	3.5
258	A	108.1	4.5	3.2
259	A	115.8	4.5	4.6
260	B	125.0	4.6	3.0
261	random	133.6	5.6	3.5
262	A	141.7	4.6	3.1
263	A	149.3	4.5	3.1
264	A	157.0	4.6	3.1
265	A	165.3	5.2	4.0
266	A	174.0	4.7	3.0
267	B	181.7	4.7	3.0
268	A	189.7	5.0	3.1
269	random	197.4	4.6	3.0
270	A	205.5	5.1	3.5
271	A	213.9	4.9	3.4
272	A	221.8	4.5	4.1
273	A	230.4	4.5	4.0
274	A	238.9	4.5	3.4
275	A	246.9	4.6	3.2
276	B	254.9	4.8	3.0
277	B	262.5	4.6	3.0
278	random	270.2	4.7	3.7
279	A	278.7	4.8	3.9
