	sequences	time	lags	move_iti
210	random	4.6	4.6	3.3
211	A	12.6	4.7	3.6
212	A	20.8	4.6	4.0
213	A	29.9	5.1	3.1
214	A	37.6	4.6	3.3
215	B	46.8	5.9	3.2
216	A	55.0	5.0	3.7
217	random	63.6	4.9	3.5
218	A	71.9	4.8	3.0
219	B	79.4	4.5	3.0
220	A	86.9	4.5	3.0
221	A	95.2	5.3	3.5
222	A	103.2	4.5	3.3
223	A	111.0	4.5	3.1
224	A	118.7	4.6	3.0
225	A	126.2	4.5	3.5
226	A	134.3	4.6	3.0
227	random	142.0	4.7	3.0
228	random	150.0	5.0	3.6
229	A	158.7	5.1	3.1
230	B	166.5	4.7	3.0
231	random	174.2	4.7	3.1
232	A	181.9	4.6	3.1
233	A	189.6	4.6	3.0
234	A	197.1	4.5	3.2
235	A	205.1	4.8	3.9
236	A	213.5	4.5	3.8
237	A	222.2	4.9	3.5
238	B	230.3	4.6	3.2
239	A	238.2	4.7	3.2
240	A	245.9	4.5	3.6
241	A	254.2	4.7	3.3
242	A	262.8	5.3	3.1
243	A	270.8	4.9	3.2
244	B	278.7	4.7	4.0
245	A	4.1	4.1	3.3
246	A	12.6	5.2	3.0
247	A	20.1	4.5	3.1
248	A	27.7	4.5	3.6
249	A	37.1	5.8	3.0
250	random	44.6	4.5	3.0
251	B	52.4	4.8	3.0
252	A	59.9	4.5	3.1
253	A	67.7	4.7	3.4
254	A	75.6	4.5	3.0
255	B	83.3	4.7	3.9
256	A	91.8	4.6	3.4
257	random	99.7	4.5	3.5
258	A	108.0	4.8	3.2
259	A	116.6	5.4	3.2
260	A	124.3	4.5	3.0
261	A	132.2	4.9	3.1
262	A	140.2	4.9	3.0
263	random	148.6	5.4	3.9
264	A	157.0	4.5	3.6
265	random	165.3	4.7	3.1
266	A	172.9	4.5	3.2
267	B	181.5	5.4	3.0
268	A	189.4	4.9	3.8
269	random	198.1	4.9	3.2
270	B	206.3	5.0	3.0
271	A	214.6	5.3	3.2
272	A	223.6	5.8	3.0
273	A	231.1	4.5	4.6
274	A	240.6	4.9	3.3
275	A	248.5	4.6	3.1
276	B	256.2	4.6	3.2
277	A	263.9	4.5	3.5
278	A	272.3	4.9	3.2
279	A	280.3	4.8	3.2
